x1,y1,z1,x2,y2,z2,vx,vy,vz,ux,uy,uz,dux,duy,duz,speed
0.44,-7.822,52.877,-0.733,-8.029,52.873,-1.173,-0.20699999999999985,-0.0040000000000048885,-0.984778006009931,-0.1737843540017524,-0.0033581517681539113,-0.04483085098061412,0.08082553075873222,0.12477617980562453,1.1911313949350844
-0.916,-8.117,56.096,-2.01,-8.376,55.994,-1.0939999999999999,-0.25899999999999856,-0.10199999999999676,-0.9691207713046919,-0.2294353562778006,-0.09035678123681484,-0.02917361627537496,0.025174528482684033,0.03777755033696359,1.1288582727694378
-1.692,-8.088,56.616,-2.801,-8.247,56.658,-1.1090000000000002,-0.1590000000000007,0.04200000000000159,-0.9891831075052087,-0.14182156365494034,0.03746229983338172,-0.04923595247589174,0.11278832110554429,0.16559663140716016,1.1211271114374146
0.204,-8.103,56.639,-0.891,-8.226,56.601,-1.095,-0.12300000000000111,-0.03800000000000381,-0.9931597963022284,-0.11156041547504583,-0.034465819415057955,-0.053212641272911476,0.1430494692854388,0.09366851215872048,1.1025416091921432
3.748,-7.876,54.476,2.687,-8.078,54.365,-1.0610000000000004,-0.20199999999999907,-0.1109999999999971,-0.9772076244401263,-0.1860470689320495,-0.10223378540325273,-0.037260469410809405,0.06856281582843513,0.0259005461705257,1.085746747635009
-1.64,-7.539,55.035,-2.796,-7.607,54.906,-1.156,-0.0680000000000005,-0.12899999999999778,-0.992137258827283,-0.058361015225134726,-0.11071427888297346,-0.05219010379796607,0.1962488695353499,0.017420052690804974,1.1651613622155512
-1.132,-7.878,56.348,-2.293,-8.038,56.322,-1.1610000000000003,-0.16000000000000014,-0.02599999999999625,-0.9903933638524832,-0.13648831887717264,-0.022179351817537333,-0.050446208823166305,0.11812156588331199,0.1059549797562411,1.1722614896003367
1.581,-7.811,54.974,0.532,-8.05,54.736,-1.049,-0.23900000000000077,-0.23799999999999955,-0.9519989175120411,-0.2168996580413523,-0.21599212809138738,-0.012051762482724215,0.03771022671913232,-0.08785779651760894,1.1018920092277646
4.947,-7.79,54.297,3.861,-8.003,54.182,-1.0859999999999999,-0.21300000000000008,-0.11499999999999488,-0.9760481821496608,-0.19143486445476782,-0.10335685170092634,-0.03610102712034391,0.06317502030571681,0.024777479872852087,1.112649989889003
5.28,-7.956,55.338,4.201,-8.178,55.225,-1.0790000000000006,-0.22200000000000042,-0.11299999999999955,-0.974370536342407,-0.2004728999703565,-0.10204251214707274,-0.034423381313090085,0.05413698479012813,0.026091819426705687,1.1073815963794962
4.41,-7.643,54.191,3.322,-7.833,54.069,-1.088,-0.1900000000000004,-0.12199999999999989,-0.9791365148464992,-0.17098891343826766,-0.10979288126036102,-0.0391893598171823,0.08362097132221696,0.018341450313417412,1.1111831532200263
5.778,-7.976,56.031,4.674,-8.171,55.981,-1.1039999999999992,-0.1949999999999994,-0.04999999999999716,-0.9837786698149865,-0.1737652541792771,-0.044555193379299425,-0.0438315147856696,0.08084463058120753,0.08357913819447901,1.1222036357096683
-0.051,-7.491,53.172,-1.245,-7.7,53.207,-1.1940000000000002,-0.20900000000000052,0.035000000000003695,-0.9846131016371149,-0.17234852449091917,0.028862193096568386,-0.04466594660779799,0.08226136026956546,0.1569965246703468,1.2126590617316975
4.591,-7.876,55.425,3.49,-8.101,55.26,-1.101,-0.22500000000000053,-0.16499999999999915,-0.9693572863400975,-0.19809753808040187,-0.14527152792562695,-0.02941013131078063,0.05651234668008276,-0.017137196351848516,1.1358041204362659
1.033,-8.088,57.814,-0.15,-8.265,57.681,-1.1829999999999998,-0.17700000000000138,-0.13300000000000267,-0.9829341986398333,-0.1470662325944648,-0.11050739511335628,-0.04298704361051642,0.10754365216601983,0.017626936460422155,1.2035393637102199
0.507,-7.91,57.264,-0.671,-8.115,57.241,-1.178,-0.20500000000000007,-0.02300000000000324,-0.9850111217417021,-0.17141534801107727,-0.01923196587441625,-0.04506396671238522,0.08319453674940736,0.10890236569936218,1.1959255829691078
-2.819,-7.472,56.784,-3.98,-7.614,56.799,-1.161,-0.14199999999999946,0.015000000000000568,-0.9925216052517415,-0.12139368470779222,0.012823276553640557,-0.052574450222424574,0.1332162000526924,0.14095760812741898,1.1697478360740832
-2.473,-7.731,57.222,-3.645,-7.914,57.394,-1.1720000000000002,-0.18299999999999983,0.17199999999999704,-0.9778023237924709,-0.15267732530206654,0.1434999997374591,-0.03785516876315398,0.10193255945841809,0.27163433131123754,1.1986062739698968
-0.931,-7.952,58.638,-2.069,-8.135,58.566,-1.138,-0.18299999999999983,-0.07199999999999562,-0.9853951459774443,-0.15845985212115304,-0.06234485985094172,-0.04544799094812735,0.09615003263933158,0.06578947172283671,1.15486665896977
-2.049,-7.672,56.483,-3.192,-7.808,56.383,-1.1430000000000002,-0.13600000000000012,-0.09999999999999432,-0.9892693274415069,-0.11770833642348646,-0.08655024737020564,-0.049322172412189946,0.13690154833699816,0.04158408420357279,1.155398199756257
1.72,-7.178,52.623,0.582,-7.3,52.623,-1.138,-0.12199999999999989,0.0,-0.9943025412003641,-0.10659482427631312,0.0,-0.05435538617104718,0.1480150604841715,0.12813433157377843,1.1445208604477246
5.322,-7.406,53.638,4.208,-7.553,53.537,-1.1139999999999999,-0.14700000000000024,-0.10099999999999909,-0.9874249209467624,-0.1302975434283432,-0.0895241624915818,-0.04747776591744546,0.12431234133214142,0.03861016908219664,1.1281870412303092
0.393,-7.135,53.806,-0.755,-7.299,53.757,-1.1480000000000001,-0.1640000000000006,-0.04899999999999949,-0.9890669495192733,-0.14129527850275383,-0.04221627223557829,-0.0491197944899564,0.1133146062577308,0.08591805933820014,1.160689881062121
-0.747,-7.19,55.671,-1.881,-7.377,55.615,-1.134,-0.1869999999999994,-0.055999999999997385,-0.9855055121281971,-0.16251281372837062,-0.048666938870525984,-0.04555835709888023,0.09209707103211401,0.07946739270325245,1.1506784954973304
3.923,-7.288,53.958,2.859,-7.495,53.815,-1.064,-0.20699999999999985,-0.14300000000000068,-0.9731641284261269,-0.18932798363177453,-0.13079179545576766,-0.03321697339680996,0.0652819011287101,-0.0026574638819892304,1.0933407520073513
