x,y,z,ux,uy,uz,vx,vy,vz,speed
6.485501,4.9295187,10.02589,0.5011164,-0.85000145,-0.1624188,0.2505582,-0.42500073,-0.0812094,0.5
3.3436043,1.0777061,6.88759,-0.7488729,-0.65873575,0.072501555,-0.37443644,-0.32936788,0.036250778,0.49999994
7.407971,0.33887723,3.6477864,-0.38969,-0.91545886,-0.10038336,-0.194845,-0.45772943,-0.05019168,0.5
6.1674128,4.5182133,0.81851053,-0.019208303,-0.9891073,0.1459386,-0.009604151,-0.49455366,0.0729693,0.50000006
9.2351,4.9657087,5.109554,0.3737199,0.83243,0.40913764,0.18685995,0.416215,0.20456882,0.49999997
8.893474,1.46084,2.2877054,-0.106018335,-0.9931294,-0.049540196,-0.053009167,-0.4965647,-0.024770098,0.5
1.2789807,5.9777155,8.9910345,-0.8917601,-0.2558923,0.37320656,-0.44588006,-0.12794615,0.18660328,0.5
9.208598,5.6371393,5.1617794,0.1887769,0.6900538,0.6987051,0.09438845,0.3450269,0.34935254,0.49999994
6.511758,3.093593,4.3412547,-0.3083458,-0.410028,0.85837054,-0.1541729,-0.205014,0.42918527,0.5
7.784564,6.8939633,6.775168,-0.03883688,-0.5657621,0.8236535,-0.01941844,-0.28288105,0.41182676,0.5
7.3316636,1.2972379,1.8168474,-0.50761205,-0.84123456,0.18615685,-0.25380602,-0.42061728,0.09307843,0.49999997
5.503964,5.565061,9.369491,-0.7628639,-0.5883002,0.2682194,-0.38143194,-0.2941501,0.1341097,0.5
3.7060428,5.866072,6.4586096,-0.796307,-0.10989344,0.5948266,-0.3981535,-0.05494672,0.2974133,0.5
5.0765715,4.2774773,3.717948,-0.33982393,-0.71286094,0.61347294,-0.16991197,-0.35643047,0.30673647,0.5
5.859455,4.0302615,1.1292777,-0.21128568,-0.824729,0.5245765,-0.10564284,-0.4123645,0.26228824,0.5
4.908212,0.60029995,4.247529,0.15679838,-0.78458595,0.5998659,0.07839919,-0.39229298,0.29993296,0.5
3.2297575,3.4966304,6.1100826,-0.28502393,-0.77345484,0.5661528,-0.14251196,-0.38672742,0.2830764,0.5
5.97747,4.1591787,4.202383,-0.6659848,-0.572492,0.47824362,-0.3329924,-0.286246,0.23912181,0.49999997
1.8857225,3.2313633,6.633083,0.30367061,-0.871251,0.3856238,0.15183531,-0.4356255,0.1928119,0.49999994
