D,J_mean,chi_mean,sdot_mean,phi_mean_mean,mean_degree_mean,model,match_method,N,k,k_label,matched_R
0.035,0.8320953398942947,3.1086475253105164,2.2468920946121216,0.19416828081011772,3.3122118413448334,metric,count,1024,3,k=3,0.5445095274032776
0.0375,0.6653349921107292,3.976097360253334,2.2630420327186584,0.15534216910600662,3.0930223762989044,metric,count,1024,3,k=3,0.5445095274032776
0.04,1.0955084785819054,2.304180383682251,2.274847596883774,0.13256387319415808,2.81904536485672,metric,count,1024,3,k=3,0.5445095274032776
0.0425,1.5233113542199135,1.5778373330831528,2.2835342586040497,0.10875034425407648,2.660031706094742,metric,count,1024,3,k=3,0.5445095274032776
0.045,1.3637984693050385,1.733652412891388,2.285272479057312,0.1017088070511818,2.425634741783142,metric,count,1024,3,k=3,0.5445095274032776
0.0475,1.8433872908353806,1.3132134824991226,2.2836384773254395,0.08928890712559223,2.2357128262519836,metric,count,1024,3,k=3,0.5445095274032776
0.05,2.1742111444473267,1.1493866071105003,2.282974034547806,0.07935012690722942,2.0632153004407883,metric,count,1024,3,k=3,0.5445095274032776
0.0525,2.4602221101522446,1.0255283862352371,2.284489393234253,0.07116367761045694,1.9278979003429413,metric,count,1024,3,k=3,0.5445095274032776
0.055,2.7429492622613907,0.8642015755176544,2.278427332639694,0.06828433973714709,1.8111278861761093,metric,count,1024,3,k=3,0.5445095274032776
0.06,4.29717430472374,0.5338298492133617,2.258197098970413,0.05654792534187436,1.5868529826402664,metric,count,1024,3,k=3,0.5445095274032776
0.07,6.897510349750519,0.33726966381073,2.206271171569824,0.04435727093368769,1.2684716433286667,metric,count,1024,3,k=3,0.5445095274032776
0.08,8.040453493595123,0.2761040385812521,2.1549400985240936,0.04061461891978979,1.1038329750299454,metric,count,1024,3,k=3,0.5445095274032776
0.09,8.76491767168045,0.24126234650611877,2.1051778495311737,0.03658539894968271,1.0042773261666298,metric,count,1024,3,k=3,0.5445095274032776
0.1,10.05990719795227,0.2059729602187872,2.061726152896881,0.034591248258948326,0.9425243884325027,metric,count,1024,3,k=3,0.5445095274032776
0.12,9.750815749168396,0.20425870083272457,1.9741021990776062,0.03351834695786238,0.8715649247169495,metric,count,1024,3,k=3,0.5445095274032776
0.14,10.29435008764267,0.1888064555823803,1.8870882391929626,0.03265884844586253,0.8256225436925888,metric,count,1024,3,k=3,0.5445095274032776
0.16,11.042261123657227,0.16391991451382637,1.8045728504657745,0.03173524257726967,0.7859350591897964,metric,count,1024,3,k=3,0.5445095274032776
0.18,10.211715579032898,0.17069051414728165,1.733124166727066,0.031303165946155787,0.7831469476222992,metric,count,1024,3,k=3,0.5445095274032776
0.2,9.742399096488953,0.17215287499129772,1.665161207318306,0.03123077587224543,0.7666650265455246,metric,count,1024,3,k=3,0.5445095274032776
