N,rho,v0,k,noise,J_interp
2048,1.0,0.05,10,0.0738,1.5415897369384766
2048,1.0,0.05,10,0.07567806242181041,1.2119348431230228
2048,1.0,0.05,10,0.07585775750291839,1.180393099784851
2048,1.0,0.05,10,0.08473373726646993,0.7052579567593004
2048,1.0,0.05,10,0.08709635899560805,0.5787857651710511
2048,1.0,0.05,10,0.09728734730546285,0.3789274094794761
2048,1.0,0.05,10,0.1,0.3257288098335266
2048,1.0,0.05,10,0.11170082013459218,0.8945713731692531
2048,1.0,0.05,10,0.1148153621496883,1.0459867477416993
2048,1.0,0.05,10,0.1318256738556407,2.4112066268920898
2048,1.0,0.05,10,0.15,3.7423145294189455
2048,1.0,0.05,10,0.15135612484362082,3.8610676288604737
2048,1.0,0.05,11,0.00330346724003798,406670855473.3652
2048,1.0,0.05,11,0.0037928878751459175,406670855473.3652
2048,1.0,0.05,11,0.004354817949780402,406670855473.3652
2048,1.0,0.05,11,0.005,406670855473.3652
2048,1.0,0.05,11,0.005740768107484414,386587602143.4253
2048,1.0,0.05,11,0.006591283692782036,363528942101.2155
2048,1.0,0.05,11,0.006597539553864474,363359337009.3573
2048,1.0,0.05,11,0.0075678062421810416,337054058066.88684
2048,1.0,0.05,11,0.00870550563296124,306209445768.5128
2048,1.0,0.05,11,0.011486983549970353,230799712176.40775
2048,1.0,0.05,11,0.01321386896015192,183981447710.04337
2048,1.0,0.05,11,0.015157165665103984,131295972152.34875
2048,1.0,0.05,11,0.015171551500583674,130905952150.97137
2048,1.0,0.05,11,0.017419271799121613,69967129712.081
2048,1.0,0.05,11,0.02,39.11364517211914
2048,1.0,0.05,11,0.02296307242993765,33.68654994776397
2048,1.0,0.05,11,0.023124270680265863,33.39130294479109
2048,1.0,0.05,11,0.02636513477112814,27.455410911712125
2048,1.0,0.05,11,0.026550215126021435,27.11642199601272
2048,1.0,0.05,11,0.030271224968724166,20.301106061418597
2048,1.0,0.05,11,0.03048372564846282,19.911894710211044
2048,1.0,0.05,11,0.0330346724003798,15.239639386636558
2048,1.0,0.05,11,0.035,11.639990615844727
2048,1.0,0.05,11,0.03792887875145919,10.561965517966595
2048,1.0,0.05,11,0.0401853767523909,9.731421926121321
2048,1.0,0.05,11,0.04354817949780404,8.49368350592801
2048,1.0,0.05,11,0.04613898584947424,7.540091873139835
2048,1.0,0.05,11,0.04875917646296059,6.575684848384806
2048,1.0,0.05,11,0.05,6.118978023529053
2048,1.0,0.05,11,0.05297464369526729,5.592673836100471
2048,1.0,0.05,11,0.055983025037153765,5.060400441429384
