model,match_method,N,k,k_label,R,matched_R,seed,D,phi_mean,phi_std,chi,sdot,J,mean_degree,mean_kth_dist
topological,count,2048,5,k=5,,0.6714,4,0.015,0.6563084125518799,0.03605670481920242,2.6625759601593018,2.1975035667419434,0.8253298997879028,5.0,0.6294820308685303
metric,count,2048,5,k=5,0.6714,0.6714,4,0.015,0.8251866698265076,0.01224904228001833,0.30727994441986084,2.103602170944214,6.845881462097168,6.851542949676514,
topological,count,2048,5,k=5,,0.6714,5,0.015,0.708206057548523,0.03743579983711243,2.870147466659546,2.1681900024414062,0.7554280757904053,5.0,0.6208105087280273
metric,count,2048,5,k=5,0.6714,0.6714,5,0.015,0.8127395510673523,0.017821114510297775,0.6504287123680115,2.1015753746032715,3.2310619354248047,6.54202127456665,
topological,count,2048,5,k=5,,0.6714,6,0.015,0.7749937176704407,0.04856196790933609,4.829726696014404,2.172355890274048,0.44978857040405273,5.0,0.7069110870361328
metric,count,2048,5,k=5,0.6714,0.6714,6,0.015,0.8182743787765503,0.012662184424698353,0.3283576965332031,2.10014009475708,6.395891189575195,6.913925647735596,
topological,count,2048,5,k=5,,0.6714,7,0.015,0.7649385929107666,0.031585317105054855,2.0431509017944336,2.1583425998687744,1.0563794374465942,5.0,0.7044833898544312
metric,count,2048,5,k=5,0.6714,0.6714,7,0.015,0.8135656714439392,0.013208210468292236,0.35728758573532104,2.110783576965332,5.90779972076416,6.601269245147705,
topological,count,2048,5,k=5,,0.6714,0,0.01625,0.7175283432006836,0.04485403001308441,4.120337963104248,2.1861062049865723,0.5305647850036621,5.0,0.6776255369186401
metric,count,2048,5,k=5,0.6714,0.6714,0,0.01625,0.8002954125404358,0.019638989120721817,0.7898929715156555,2.117906093597412,2.6812570095062256,6.492294788360596,
topological,count,2048,5,k=5,,0.6714,1,0.01625,0.7403698563575745,0.02049999311566353,0.8606714606285095,2.1706831455230713,2.522081136703491,5.0,0.6609495282173157
metric,count,2048,5,k=5,0.6714,0.6714,1,0.01625,0.803515613079071,0.019365938380360603,0.7680810689926147,2.1132259368896484,2.7513058185577393,5.908710956573486,
topological,count,2048,5,k=5,,0.6714,2,0.01625,0.7151005268096924,0.037900034338235855,2.9417734146118164,2.188119411468506,0.7438096404075623,5.0,0.6831458806991577
metric,count,2048,5,k=5,0.6714,0.6714,2,0.01625,0.8055962324142456,0.02075214684009552,0.8819745182991028,2.1160125732421875,2.399176597595215,6.016650199890137,
topological,count,2048,5,k=5,,0.6714,3,0.01625,0.6815980672836304,0.037667468190193176,2.905780553817749,2.190997362136841,0.7540133595466614,5.0,0.688068151473999
metric,count,2048,5,k=5,0.6714,0.6714,3,0.01625,0.7929254174232483,0.017209893092513084,0.6065775156021118,2.1229803562164307,3.4999325275421143,6.355966567993164,
topological,count,2048,5,k=5,,0.6714,4,0.01625,0.7189280390739441,0.04146691784262657,3.5215468406677246,2.1934831142425537,0.622874915599823,5.0,0.6640576720237732
metric,count,2048,5,k=5,0.6714,0.6714,4,0.01625,0.7981575727462769,0.015079975128173828,0.465726763010025,2.1150052547454834,4.5413007736206055,6.855595588684082,
topological,count,2048,5,k=5,,0.6714,5,0.01625,0.7687107920646667,0.025392010807991028,1.3204567432403564,2.1748721599578857,1.647060513496399,5.0,0.6530889868736267
metric,count,2048,5,k=5,0.6714,0.6714,5,0.01625,0.8133456707000732,0.021453021094202995,0.9425554275512695,2.1103811264038086,2.238999366760254,7.419716835021973,
topological,count,2048,5,k=5,,0.6714,6,0.01625,0.6821543574333191,0.05411383882164955,5.99717378616333,2.200357437133789,0.3668990731239319,5.0,0.6635878682136536
metric,count,2048,5,k=5,0.6714,0.6714,6,0.01625,0.8062747120857239,0.016162967309355736,0.5350226759910583,2.108576774597168,3.9410979747772217,6.941132545471191,
topological,count,2048,5,k=5,,0.6714,7,0.01625,0.7873843908309937,0.03548039495944977,2.5781421661376953,2.168586254119873,0.841143012046814,5.0,0.7085506916046143
metric,count,2048,5,k=5,0.6714,0.6714,7,0.01625,0.7990772128105164,0.024047737941145897,1.1843454837799072,2.1176493167877197,1.788033366203308,6.88756799697876,
topological,count,2048,5,k=5,,0.6714,0,0.0175,0.7525979280471802,0.01904342509806156,0.7427113652229309,2.1842031478881836,2.9408507347106934,5.0,0.7093691825866699
metric,count,2048,5,k=5,0.6714,0.6714,0,0.0175,0.774853527545929,0.018297620117664337,0.6856763362884521,2.131056070327759,3.107962131500244,6.26589822769165,
