model,match_method,N,k,k_label,R,matched_R,seed,D,phi_mean,phi_std,chi,sdot,J,mean_degree,mean_kth_dist
topological,count,2048,3,k=3,,0.5063,6,0.00625,0.5390051007270813,0.06725986301898956,9.264925003051758,2.228599786758423,0.24054159224033356,3.0,0.40825557708740234
metric,count,2048,3,k=3,0.5063,0.5063,6,0.00625,0.8200703859329224,0.019763879477977753,0.7999712824821472,2.0434913635253906,2.5544557571411133,6.378339767456055,
topological,count,2048,3,k=3,,0.5063,7,0.00625,0.5709624886512756,0.056147780269384384,6.456470012664795,2.2102484703063965,0.34233078360557556,3.0,0.4083828628063202
metric,count,2048,3,k=3,0.5063,0.5063,7,0.00625,0.6712644696235657,0.13513198494911194,37.39781951904297,2.0600502490997314,0.05508476868271828,7.457939147949219,
topological,count,2048,3,k=3,,0.5063,0,0.006667,0.6751997470855713,0.03472405672073364,2.4693968296051025,2.168898344039917,0.878311038017273,3.0,0.4525167644023895
metric,count,2048,3,k=3,0.5063,0.5063,0,0.006667,0.8071796894073486,0.016315193846821785,0.5451479554176331,2.0544943809509277,3.768691301345825,6.105165958404541,
topological,count,2048,3,k=3,,0.5063,1,0.006667,0.529532790184021,0.044145550578832626,3.9912033081054688,2.227694272994995,0.5581510066986084,3.0,0.41782882809638977
metric,count,2048,3,k=3,0.5063,0.5063,1,0.006667,0.799785852432251,0.03835912421345711,3.0134732723236084,2.0489001274108887,0.6799131631851196,6.793183326721191,
topological,count,2048,3,k=3,,0.5063,2,0.006667,0.48126593232154846,0.0909825935959816,16.952999114990234,2.240769624710083,0.13217540085315704,3.0,0.4139454662799835
metric,count,2048,3,k=3,0.5063,0.5063,2,0.006667,0.825457751750946,0.025792350992560387,1.3624224662780762,2.05476713180542,1.508171796798706,6.697021484375,
topological,count,2048,3,k=3,,0.5063,3,0.006667,0.5264306664466858,0.06139576807618141,7.719814300537109,2.2312965393066406,0.28903499245643616,3.0,0.4212641716003418
metric,count,2048,3,k=3,0.5063,0.5063,3,0.006667,0.8262302875518799,0.04098038002848625,3.439394235610962,2.050633430480957,0.5962193608283997,6.396406173706055,
topological,count,2048,3,k=3,,0.5063,4,0.006667,0.5341626405715942,0.022796614095568657,1.0643161535263062,2.2421319484710693,2.1066408157348633,3.0,0.4186151325702667
metric,count,2048,3,k=3,0.5063,0.5063,4,0.006667,0.7852323651313782,0.040851373225450516,3.4177732467651367,2.053361415863037,0.6007892489433289,7.380097389221191,
topological,count,2048,3,k=3,,0.5063,5,0.006667,0.5214410424232483,0.08349373191595078,14.27702522277832,2.206313371658325,0.1545359343290329,3.0,0.4095861315727234
metric,count,2048,3,k=3,0.5063,0.5063,5,0.006667,0.8245970010757446,0.01766752451658249,0.6392657160758972,2.0474178791046143,3.2027649879455566,5.579609394073486,
